id,roll_no,name,age
1,1001,Shahbaj,20
2,1002,Sachin,21
3,1003,John,22
4,1004,Mike,23
5,1006,Michael,22
6,1005,Joseph,24
7,10001,Ashly Paucek,18
8,10002,Jayde Hackett IV,18
9,10003,Yessenia Sauer,19
10,10004,Kaley Braun V,20
11,10005,Angelica King,21
12,10006,Tyrel Jenkins,12
13,10007,Dorothy Cole,23
14,10008,Cora Kunde,18
15,10009,Miss Linwood Gerhold,19
16,10010,Richie Monahan,22
17,10011,Gabriella Tillman,23
18,10012,Jaylon Greenholt,21
19,10013,Laura Marvin,18
20,10014,Dr. Jose Dooley,19
21,10015,Hermann Murray,21
22,10016,Dr. Rose Lebsack,20
23,10017,Lisandro Bogisich,22
24,10018,Kathleen Treutel,23
25,10019,Maude Kirlin IV,21
26,10020,Dr. Joshua McCullough,21
27,10021,Reva Blanda,18
28,10022,Donnie Nienow,19
29,10023,Lamar Jacobson,18
30,10024,Ms. Kristy Crist,21
31,10025,Marlene Gusikowski,22
32,10001,Ashly Paucek,18
33,10002,Jayde Hackett IV,18
34,10003,Yessenia Sauer,19
35,10004,Kaley Braun V,20
36,10005,Angelica King,21
37,10006,Tyrel Jenkins,12
38,10007,Dorothy Cole,23
39,10008,Cora Kunde,18
40,10009,Miss Linwood Gerhold,19
41,10010,Richie Monahan,22
42,10011,Gabriella Tillman,23
43,10012,Jaylon Greenholt,21
44,10013,Laura Marvin,18
45,10014,Dr. Jose Dooley,19
46,10015,Hermann Murray,21
47,10016,Dr. Rose Lebsack,20
48,10017,Lisandro Bogisich,22
49,10018,Kathleen Treutel,23
50,10019,Maude Kirlin IV,21
51,10020,Dr. Joshua McCullough,21
52,10021,Reva Blanda,18
53,10022,Donnie Nienow,19
54,10023,Lamar Jacobson,18
55,10024,Ms. Kristy Crist,21
56,10025,Marlene Gusikowski,22
